小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
德胜门西大街74号,"['30天成交0套', '1套正在出租']",西城,西直门,近地铁2号线西直门站,11,1986-1988年,135254.0,,30,1,3
德胜门西大街64号,"['30天成交0套', '1套正在出租']",西城,新街口,,11,1980-1985年,123243.0,,30,1,1
德胜佳苑,"['30天成交0套', '8套正在出租']",西城,德胜门,近地铁2号线积水潭站,12,2007-2009年,151461.0,,30,8,3
大兴隆胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线西四站,10,未知,,,30,0,0
大糖房胡同,"['30天成交0套', '1套正在出租']",西城,西四,近地铁4号线大兴线西四站,9,1940-1950年,,,30,1,0
德外大街12号院,"['30天成交0套', '3套正在出租']",西城,六铺炕,,2,2001年,173759.0,,30,3,3
大外廊营胡同,"['30天成交0套', '0套正在出租']",西城,宣武门,近地铁7号线虎坊桥站,9,1949-1995年,,,30,0,0
德外大街2号院,"['30天成交0套', '1套正在出租']",西城,马甸,近地铁19号线北太平庄站,0,1996年,139465.0,,30,1,3
德外大街4号院,"['30天成交0套', '0套正在出租']",西城,马甸,近地铁8号线安华桥站,2,1999年,150348.0,,30,0,3
东桃园,"['30天成交0套', '0套正在出租']",西城,西直门,近地铁4号线大兴线新街口站,11,1992-1998年,126590.0,,30,0,3
大院胡同5号院,"['30天成交0套', '0套正在出租']",西城,金融街,近地铁4号线大兴线西四站,11,1980年,,,30,0,0
东文昌胡同,"['30天成交0套', '1套正在出租']",西城,西单,近地铁1号线八通线天安门西站,9,1960-1974年,234239.0,,30,1,6
大翔凤胡同,"['30天成交0套', '0套正在出租']",西城,地安门,近地铁6号线北海北站,9,1936-1955年,,,30,0,0
东新帘子胡同,"['共4个户型', '30天成交0套', '0套正在出租']",西城,西单,近地铁2号线和平门站,9,1960-1984年,,,4,0,0
东铁匠胡同,"['30天成交0套', '0套正在出租']",西城,金融街,近地铁1号线八通线西单站,9,1930-2019年,229022.0,,30,0,6
大杨家胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1954年,,,30,0,0
广义街10号院,"['30天成交0套', '2套正在出租']",西城,长椿街,近地铁19号线 牛街站,11,1992-1999年,94983.0,,30,2,1
槐柏树后街,"['30天成交0套', '0套正在出租']",西城,长椿街,近地铁2号线长椿街站,5,1987-1999年,117553.0,,30,0,1
槐柏树街,"['30天成交0套', '8套正在出租']",西城,长椿街,近地铁2号线长椿街站,11,1956-2004年,96877.0,,30,8,1
护仓胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1970-1998年,177498.0,,30,0,6
光泽胡同,"['共23个户型', '30天成交0套', '1套正在出租']",西城,德胜门,近地铁2号线积水潭站,14,1980-2022年,147246.0,,23,1,3
槐柏树街1号院,"['30天成交0套', '1套正在出租']",西城,长椿街,近地铁2号线长椿街站,12,1956-1980年,86278.0,,30,1,4
后半壁街8号,"['30天成交0套', '0套正在出租']",西城,官园,近地铁4号线大兴线新街口站,11,1985年,131723.0,,30,0,3
宏大胡同,"['30天成交0套', '0套正在出租']",西城,官园,近地铁2号线阜成门站,14,1955-2008年,,,30,0,0
粉子胡同30号院,"['30天成交0套', '1套正在出租']",西城,金融街,,11,1981年,217070.0,,30,1,6
后海夹道,"['30天成交0套', '0套正在出租']",西城,六铺炕,,9,未知,,,30,0,0
护国寺大街,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1956-2009年,,,30,0,0
护国寺西巷57号院,"['30天成交0套', '1套正在出租']",西城,西四,近地铁4号线大兴线平安里站,11,1984年,119908.0,,30,1,1
护国寺棉花胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1956-2004年,111758.0,,30,0,1
小沙土园,"['30天成交0套', '0套正在出租']",西城,宣武门,近地铁7号线虎坊桥站,10,未知,,,30,0,0
西绦胡同,"['30天成交0套', '2套正在出租']",西城,六铺炕,近地铁2号线鼓楼大街站,14,1980-2000年,140148.0,,30,2,3
宣武门外西里,"['30天成交0套', '0套正在出租']",西城,宣武门,近地铁2号线宣武门站,11,1970-1975年,114159.0,,30,0,1
小院西巷,"['30天成交0套', '0套正在出租']",西城,金融街,近地铁4号线大兴线西四站,9,1954-2012年,237041.0,,30,0,6
小英子胡同,"['30天成交0套', '0套正在出租']",西城,金融街,近地铁4号线大兴线灵境胡同站,11,1981年,214647.0,,30,0,6
西直门外南路,"['共50个户型', '30天成交0套', '1套正在出租']",西城,车公庄,近地铁6号线二里沟站,2,1984-1985年,108368.0,,50,1,1
右安门内大街,"['30天成交0套', '7套正在出租']",西城,牛街,近地铁19号线 牛街站,13,1954-1999年,99708.0,,30,7,1
西四头条,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线西四站,9,未知,,,30,0,0
新外大街乙8号院,"['30天成交0套', '0套正在出租']",西城,马甸,近地铁19号线北太平庄站,11,2002-2003年,150958.0,,30,0,3
育德胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,14,1953-1994年,122172.0,,30,0,1
鸦儿胡同,"['30天成交0套', '0套正在出租']",西城,六铺炕,近地铁8号线什刹海站,9,未知,209221.0,,30,0,6
西直门南小街,"['30天成交1套', '3套正在出租']",西城,官园,近地铁2号线车公庄站,7,1950-1996年,132213.0,,30,3,3
西四北五条,"['共10个户型', '30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,14,1980-2013年,143345.0,,10,0,3
西四北大街156号,"['30天成交0套', '1套正在出租']",西城,西四,近地铁4号线大兴线西四站,4,1944-1988年,135073.0,,30,1,3
西四北大街160号,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线西四站,2,1987年,136917.0,,30,0,3
西四六条,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1959年,161185.0,,30,0,3
西什库大街74号院,"['30天成交0套', '0套正在出租']",西城,西四,,11,1984年,156167.0,,30,0,3
西四七条,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,10,未知,,,30,0,0
新外大街甲28号,"['30天成交0套', '4套正在出租']",西城,德胜门,近地铁2号线积水潭站,11,1977-1990年,148807.0,,30,4,3
鸭子桥北里,"['30天成交0套', '8套正在出租']",西城,天宁寺,近地铁16号线红莲南路站,11,1970-1999年,101124.0,,30,8,1
源屋曲,"['30天成交0套', '3套正在出租']",西城,天宁寺,,12,2005-2006年,119684.0,,30,3,1
月坛北街甲1号院,"['30天成交0套', '1套正在出租']",西城,月坛,近地铁2号线阜成门站,2,1989-1990年,125793.0,,30,1,3
鸭子桥南里,"['30天成交0套', '3套正在出租']",西城,菜户营,近地铁16号线红莲南路站,11,1980-1990年,85577.0,,30,3,4
樱桃二条8号院,"['30天成交0套', '7套正在出租']",西城,白纸坊,近地铁7号线广安门内站,12,1959-2014年,109143.0,,30,7,1
鸭子桥43号院,"['30天成交0套', '2套正在出租']",西城,菜户营,,11,1982年,101041.0,,30,2,1
玉桃园三区,"['30天成交0套', '12套正在出租']",西城,西直门,近地铁4号线大兴线新街口站,11,1990-1998年,122773.0,,30,12,1
赵登禹路,"['30天成交0套', '0套正在出租']",西城,西四,近地铁2号线阜成门站,5,1953-2000年,,,30,0,0
鸭子桥路,"['30天成交0套', '2套正在出租']",西城,菜户营,近地铁16号线红莲南路站,6,1970-2003年,91742.0,,30,2,4
中京几道,"['30天成交0套', '2套正在出租']",西城,金融街,近地铁19号线太平桥站,2,1983-1984年,194245.0,,30,2,6
姿美堂科技大厦,"['30天成交0套', '0套正在出租']",西城,白纸坊,,2,未知,,,30,0,0
后毛家湾,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,9,1940-1970年,,,30,0,0
红莲晴园,"['30天成交0套', '7套正在出租']",西城,马连道,近地铁7号线达官营站,2,2000-2006年,95962.0,,30,7,1
红居斜街,"['30天成交0套', '6套正在出租']",西城,广安门,近地铁16号线红莲南路站,5,1980-1997年,98923.0,,30,6,1
福长街五条18号院,"['30天成交0套', '0套正在出租']",西城,陶然亭,近地铁8号线天桥站,11,1970年,,,30,0,0
富通大厦,"['30天成交1套', '0套正在出租']",西城,官园,近地铁2号线车公庄站,0,2000年,113088.0,,30,0,1
宫门口二条,"['30天成交0套', '0套正在出租']",西城,官园,近地铁2号线阜成门站,9,1949-1953年,,,30,0,0
冠英园小区,"['30天成交1套', '12套正在出租']",西城,官园,近地铁4号线大兴线平安里站,6,1997-2001年,122966.0,,30,12,1
黄瓜园,"['30天成交0套', '4套正在出租']",西城,阜成门,近地铁16号线甘家口站,11,1950-1994年,104009.0,,30,4,1
护国寺大街7号院,"['30天成交0套', '0套正在出租']",西城,西四,,9,1956年,,,30,0,0
后广平胡同,"['30天成交0套', '0套正在出租']",西城,官园,近地铁4号线大兴线新街口站,14,2000年,,,30,0,0
护国寺西巷,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,14,1955-1985年,116715.0,,30,0,1
护国寺18号院,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线平安里站,11,1980-1992年,134769.0,,30,0,3
后公用胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线新街口站,9,1995年,,,30,0,0
凯迪尚府,"['30天成交1套', '3套正在出租']",西城,牛街,近地铁4号线大兴线陶然亭站,11,2010-2012年,135850.0,,30,3,3
京泽苑,"['30天成交0套', '0套正在出租']",西城,马连道,近地铁16号线红莲南路站,0,2001-2007年,98981.0,,30,0,1
教子胡同,"['30天成交0套', '0套正在出租']",西城,牛街,近地铁19号线 牛街站,11,1960-2000年,109224.0,,30,0,1
康乐里小区,"['30天成交0套', '3套正在出租']",西城,长椿街,近地铁19号线 牛街站,2,1999-2002年,134964.0,,30,3,3
考拉社区,"['30天成交0套', '17套正在出租']",西城,菜户营,近地铁16号线红莲南路站,6,2002-2009年,98136.0,,30,17,1
莲花池东路24号院,"['30天成交1套', '8套正在出租']",西城,广安门,,5,1999-2000年,100034.0,,30,8,1
莲花池东路甲5号院,"['30天成交0套', '10套正在出租']",西城,木樨地,,5,1964-2007年,115063.0,,30,10,1
廊坊二条,"['30天成交0套', '0套正在出租']",西城,崇文门,近地铁2号线前门站,9,1956年,,,30,0,0
莲花池东路,"['30天成交0套', '4套正在出租']",西城,木樨地,,5,1984-1995年,141862.0,,30,4,3
六合胡同,"['30天成交0套', '0套正在出租']",西城,西四,近地铁4号线大兴线西四站,9,1965年,,,30,0,0
立恒名苑,"['30天成交1套', '3套正在出租']",西城,天宁寺,,3,2002-2003年,73672.0,,30,3,4
六合头条,"['30天成交0套', '0套正在出租']",西城,西四,,9,2020年,,,30,0,0
丽豪园,"['30天成交0套', '0套正在出租']",西城,六铺炕,近地铁2号线鼓楼大街站,11,1999年,159991.0,,30,0,3
丽华苑,"['30天成交0套', '3套正在出租']",西城,金融街,近地铁1号线八通线西单站,6,1997-2000年,180707.0,,30,3,6
刘海胡同,"['共6个户型', '30天成交0套', '0套正在出租']",西城,地安门,近地铁6号线北海北站,9,1950-2022年,,,6,0,0
灵境胡同12号院,"['30天成交0套', '3套正在出租']",西城,西单,近地铁4号线大兴线灵境胡同站,11,1980-1990年,,,30,3,0
梁家园东胡同甲1号院,"['30天成交0套', '1套正在出租']",西城,宣武门,近地铁7号线虎坊桥站,11,1980-1985年,110632.0,,30,1,1
窑台胡同,"['30天成交0套', '0套正在出租']",西城,陶然亭,,9,1949年,,,30,0,0
樱桃二条,"['30天成交0套', '0套正在出租']",西城,白纸坊,近地铁19号线 牛街站,11,1959-1982年,89356.0,,30,0,4
耀武胡同,"['30天成交0套', '0套正在出租']",西城,宣武门,近地铁2号线和平门站,9,1956年,177668.0,,30,0,6
月坛北小街1号院,"['30天成交0套', '4套正在出租']",西城,月坛,近地铁2号线阜成门站,0,1997-2001年,126655.0,,30,4,3
玉桃园二区,"['30天成交1套', '8套正在出租']",西城,西直门,近地铁2号线西直门站,11,1990-2003年,124247.0,,30,8,1
月坛西街东里21号院,"['30天成交0套', '3套正在出租']",西城,月坛,,11,1980-1984年,137738.0,,30,3,3
樱桃斜街,"['30天成交0套', '0套正在出租']",西城,宣武门,近地铁7号线虎坊桥站,9,1950-2022年,172421.0,,30,0,3
月坛西街西里,"['30天成交0套', '13套正在出租']",西城,月坛,近地铁2号线阜成门站,11,1954-2000年,134396.0,,30,13,3
月坛西街,"['30天成交0套', '0套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,11,1970年,,,30,0,0
远雄大观,"['30天成交0套', '0套正在出租']",西城,右安门内,近地铁4号线大兴线陶然亭站,11,2009年,131978.0,,30,0,3
云梯胡同,"['30天成交0套', '2套正在出租']",西城,金融街,近地铁4号线大兴线灵境胡同站,11,1980-1993年,189416.0,,30,2,6
月新大厦,"['30天成交0套', '0套正在出租']",西城,月坛,近地铁16号线玉渊潭东门站,2,未知,,,30,0,0
月坛北小街5号院,"['30天成交0套', '1套正在出租']",西城,月坛,近地铁2号线阜成门站,11,1960年,103854.0,,30,1,1
远洋大厦,"['30天成交0套', '0套正在出租']",西城,金融街,近地铁1号线八通线复兴门站,2,2000年,,,30,0,0
月坛北小街,"['30天成交1套', '3套正在出租']",西城,月坛,近地铁2号线阜成门站,11,1973-1994年,128275.0,,30,3,3
月坛西街东里22号院,"['30天成交0套', '3套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,11,1983-1986年,134024.0,,30,3,3
月坛南街小四道口,"['30天成交0套', '6套正在出租']",西城,月坛,,11,1994年,142079.0,,30,6,3
月坛南街北里,"['30天成交0套', '2套正在出租']",西城,月坛,近地铁16号线玉渊潭东门站,0,1984-1990年,142636.0,,30,2,3
月坛西街24号院,"['30天成交0套', '1套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,11,1980-1998年,152143.0,,30,1,3
亚泰中心,"['30天成交0套', '0套正在出租']",西城,牛街,近地铁4号线大兴线陶然亭站,2,2007年,,,30,0,0
月坛南街37号院,"['30天成交1套', '2套正在出租']",西城,月坛,近地铁16号线玉渊潭东门站,11,1976-1994年,132951.0,,30,2,3
龙爪槐胡同9号院,"['30天成交0套', '0套正在出租']",西城,陶然亭,,11,1990-2001年,123800.0,,30,0,1
丽阳四季,"['30天成交0套', '1套正在出租']",西城,马连道,近地铁7号线湾子站,5,2001-2004年,94460.0,,30,1,1
龙岳洲,"['30天成交0套', '1套正在出租']",西城,六铺炕,近地铁2号线鼓楼大街站,12,2003年,174008.0,,30,1,3
龙爪槐胡同,"['共26个户型', '30天成交0套', '1套正在出租']",西城,陶然亭,近地铁4号线大兴线陶然亭站,11,1996-1999年,134223.0,,26,1,3
腊竹胡同,"['30天成交0套', '0套正在出租']",西城,六铺炕,近地铁7号线虎坊桥站,9,1985年,,,30,0,0
马连道北街,"['30天成交0套', '3套正在出租']",西城,马连道,近地铁7号线达官营站,11,1980-1987年,94419.0,,30,3,1
民康胡同30号院,"['30天成交0套', '18套正在出租']",西城,金融街,近地铁2号线阜成门站,2,1988-1995年,160621.0,,30,18,3
马连道东街,"['30天成交0套', '1套正在出租']",西城,马连道,近地铁7号线达官营站,11,1955-2005年,111209.0,,30,1,1
马连道路13号院,"['30天成交0套', '1套正在出租']",西城,马连道,,12,1990-1992年,96276.0,,30,1,1
粮食店街平房,"['30天成交0套', '0套正在出租']",西城,崇文门,近地铁7号线珠市口站,9,1949-1970年,144073.0,,30,0,3
丽水莲花,"['30天成交1套', '20套正在出租']",西城,广安门,近地铁7号线达官营站,6,2005-2011年,112447.0,,30,20,1
留学路平房,"['30天成交0套', '0套正在出租']",西城,陶然亭,,14,1950-1980年,,,30,0,0
力学胡同,"['30天成交0套', '0套正在出租']",西城,西单,近地铁1号线八通线西单站,14,1980-1993年,132491.0,,30,0,3
蓝星公寓,"['30天成交0套', '0套正在出租']",西城,六铺炕,近地铁2号线鼓楼大街站,11,2003-2005年,172947.0,,30,0,3
凌云居,"['30天成交0套', '2套正在出租']",西城,牛街,,2,2000-2001年,97616.0,,30,2,1
柳荫街,"['30天成交0套', '0套正在出租']",西城,地安门,近地铁6号线北海北站,11,1953-1989年,134589.0,,30,0,3
柳巷15号院,"['30天成交1套', '3套正在出租']",西城,官园,近地铁4号线大兴线新街口站,11,1982-1990年,136692.0,,30,3,3
灵佑胡同,"['30天成交0套', '2套正在出租']",西城,陶然亭,近地铁7号线珠市口站,11,1980-1991年,120722.0,,30,2,1
南横东街,"['30天成交0套', '0套正在出租']",西城,陶然亭,近地铁4号线大兴线陶然亭站,9,1970年,,,30,0,0
南横西街,"['30天成交1套', '0套正在出租']",西城,牛街,近地铁4号线大兴线陶然亭站,8,1978-1992年,107519.0,,30,0,1
南菜园街1号院,"['30天成交0套', '5套正在出租']",西城,白纸坊,,11,1990-1993年,101211.0,,30,5,1
南官房胡同,"['30天成交0套', '1套正在出租']",西城,地安门,近地铁6号线北海北站,9,未知,,,30,1,0
南草厂胡同,"['30天成交0套', '0套正在出租']",西城,官园,近地铁4号线大兴线新街口站,9,1950-1974年,166553.0,,30,0,3
南菜园,"['30天成交0套', '0套正在出租']",西城,白纸坊,,11,1982年,84798.0,,30,0,4
南华东街,"['共25个户型', '30天成交0套', '2套正在出租']",西城,陶然亭,近地铁7号线虎坊桥站,11,1963-1964年,102886.0,,25,2,1
南华东街2号院,"['30天成交0套', '1套正在出租']",西城,陶然亭,近地铁7号线虎坊桥站,11,1964-1981年,103714.0,,30,1,1
南露园,"['30天成交0套', '13套正在出租']",西城,阜成门,近地铁16号线甘家口站,11,1992-2003年,112880.0,,30,13,1
南礼士路三条北里,"['30天成交0套', '7套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,14,1953-2000年,125354.0,,30,7,1
南横西街96号院,"['共20个户型', '30天成交1套', '0套正在出租']",西城,牛街,,11,1963-1985年,102557.0,,20,0,1
南礼士路甲62号院,"['30天成交1套', '7套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,11,1978-1982年,133123.0,,30,7,3
牛街东里,"['30天成交1套', '18套正在出租']",西城,牛街,近地铁19号线 牛街站,8,1999-2004年,93279.0,,30,18,4
南礼士路,"['30天成交0套', '0套正在出租']",西城,月坛,近地铁2号线阜成门站,11,1956-2004年,98901.0,,30,0,1
南横西街94号院,"['共36个户型', '30天成交0套', '2套正在出租']",西城,牛街,,11,1960-1986年,103997.0,,36,2,1
枣林前街12号,"['30天成交0套', '0套正在出租']",西城,白纸坊,,10,未知,,,30,0,0
南河沿,"['30天成交1套', '0套正在出租']",西城,月坛,近地铁2号线阜成门站,11,1978-1980年,108994.0,,30,0,1
南礼士路三条甲一号院,"['30天成交0套', '0套正在出租']",西城,月坛,近地铁1号线八通线南礼士路站,0,1983-2008年,119047.0,,30,0,1
南礼士路头条7号院,"['30天成交0套', '0套正在出租']",西城,月坛,,11,1985年,141356.0,,30,0,3
南礼士路三条南里,"['30天成交1套', '0套正在出租']",西城,月坛,,0,2008年,128248.0,,30,0,3
南礼士路46号院,"['30天成交0套', '2套正在出租']",西城,月坛,近地铁2号线阜成门站,12,2014年,169137.0,,30,2,3
东架松,"['30天成交0套', '4套正在出租']",朝阳,潘家园,近地铁10号线潘家园站,11,1979-1986年,55474.0,,30,4,2
东润枫景三期,"['30天成交0套', '2套正在出租']",朝阳,朝阳公园,近地铁14号线东风北桥站,6,2000-2003年,68108.0,,30,2,4
东润枫景一期,"['30天成交0套', '3套正在出租']",朝阳,朝阳公园,,6,2000-2002年,69335.0,,30,3,4
东润枫景二期,"['30天成交0套', '3套正在出租']",朝阳,朝阳公园,近地铁14号线东风北桥站,5,2000-2020年,70133.0,,30,3,4
叠墅,"['30天成交0套', '2套正在出租']",朝阳,高碑店,,6,2006-2007年,67444.0,,30,2,4
东山墅,"['30天成交0套', '0套正在出租']",朝阳,朝阳公园,近地铁14号线东风北桥站,11,2000-2006年,203454.0,,30,0,6
第三置业,"['30天成交1套', '14套正在出租']",朝阳,三元桥,近地铁首都机场线三元桥站,2,2004年,34613.0,,30,14,5
大山子西里,"['30天成交0套', '20套正在出租']",朝阳,大山子,近地铁14号线望京南站,5,1971-1996年,50376.0,,30,20,2
大山子北里,"['30天成交1套', '31套正在出租']",朝阳,大山子,近地铁14号线望京南站,11,1950-2000年,48474.0,,30,31,2
点击未来,"['30天成交2套', '31套正在出租']",朝阳,望京,近地铁14号线望京南站,2,2004年,57515.0,,30,31,2
东景苑,"['共107个户型', '30天成交0套', '7套正在出租']",朝阳,华威桥,近地铁10号线潘家园站,8,2001-2002年,54305.0,,107,7,2
东恒时代二期,"['30天成交1套', '30套正在出租']",朝阳,四惠,近地铁1号线八通线四惠站,11,1996-2011年,89542.0,,30,30,4
大湖山庄,"['30天成交0套', '2套正在出租']",朝阳,中央别墅区,,12,2003-2004年,83687.0,,30,2,4
东会新村,"['30天成交0套', '7套正在出租']",朝阳,双桥,近地铁1号线八通线管庄站,11,1995-1998年,41444.0,,30,7,2
东湖湾一期,"['30天成交0套', '10套正在出租']",朝阳,望京,近地铁14号线东湖渠站,11,2007-2010年,116299.0,,30,10,1
道家村,"['30天成交0套', '2套正在出租']",朝阳,甜水园,近地铁6号线金台路站,11,1981-1996年,61032.0,,30,2,2
垡头西里,"['共207个户型', '30天成交1套', '13套正在出租']",朝阳,垡头,近地铁7号线垡头站,11,1957-1998年,39919.0,,207,13,5
关东店北街,"['30天成交0套', '20套正在出租']",朝阳,东大桥,近地铁6号线呼家楼站,5,1978-1990年,89627.0,,30,20,4
方丹苑,"['共191个户型', '30天成交1套', '19套正在出租']",朝阳,潘家园,,3,2002-2013年,69924.0,,191,19,4
富仁名苑,"['30天成交0套', '6套正在出租']",朝阳,安贞,近地铁5号线惠新西街南口站,3,1996-2011年,86679.0,,30,6,4
光彩国际公寓,"['共56个户型', '30天成交0套', '3套正在出租']",朝阳,工体,近地铁6号线东大桥站,5,2003年,86822.0,,56,3,4
福盈家园,"['30天成交0套', '29套正在出租']",朝阳,定福庄,近地铁6号线褡裢坡站,12,2000-2017年,48903.0,,30,29,2
关东店南街,"['共79个户型', '30天成交0套', '8套正在出租']",朝阳,东大桥,近地铁10号线金台夕照站,3,1985-1994年,71794.0,,79,8,4
双泉堡甲1号院,"['共95个户型', '30天成交0套', '6套正在出租']",朝阳,南沙滩,近地铁15号线北沙滩站,2,2000年,68753.0,,95,6,4
光华东里,"['30天成交0套', '8套正在出租']",朝阳,CBD,近地铁1号线八通线国贸站,5,1958-2020年,71773.0,,30,8,4
广和里,"['30天成交0套', '3套正在出租']",朝阳,广渠门,近地铁7号线广渠门外站,11,1970-1997年,59321.0,,30,3,2
国风北京,"['30天成交1套', '50套正在出租']",朝阳,望京,近地铁15号线望京东站,6,2005-2013年,85414.0,,30,50,4
国风上观,"['30天成交0套', '16套正在出租']",朝阳,望京,,11,2009-2012年,87640.0,,30,16,4
光辉南里,"['30天成交1套', '20套正在出租']",朝阳,CBD,近地铁14号线大望路站,11,1980-2000年,53705.0,,30,20,2
高尔夫国际公寓,"['共39个户型', '30天成交0套', '5套正在出租']",朝阳,农展馆,近地铁14号线朝阳公园站,11,2004-2005年,78256.0,,39,5,4
金隅国际,"['30天成交0套', '23套正在出租']",朝阳,望京,近地铁14号线阜通站,6,2004-2012年,67776.0,,30,23,4
京友公寓,"['30天成交0套', '0套正在出租']",朝阳,马甸,近地铁10号线健德门站,11,1995-1996年,99967.0,,30,0,1
金隅凤麟洲,"['30天成交0套', '16套正在出租']",朝阳,朝青,,12,2007-2010年,81196.0,,30,16,4
景园大厦,"['共88个户型', '30天成交0套', '1套正在出租']",朝阳,农展馆,近地铁14号线朝阳公园站,4,1996-2015年,71816.0,,88,1,4
科学园南里四区,"['30天成交0套', '5套正在出租']",朝阳,南沙滩,近地铁8号线奥林匹克公园站,5,1994-1997年,94991.0,,30,5,1
联宝公寓,"['共28个户型', '30天成交0套', '0套正在出租']",朝阳,工体,,2,1997年,72049.0,,28,0,4
科学园南里五区,"['30天成交0套', '1套正在出租']",朝阳,南沙滩,近地铁8号线奥林匹克公园站,11,1997-1998年,107421.0,,30,1,1
龙宝大厦,"['共10个户型', '30天成交0套', '2套正在出租']",朝阳,农展馆,近地铁14号线枣营站,2,1996年,79246.0,,10,2,4
鲁班大厦,"['30天成交0套', '3套正在出租']",朝阳,定福庄,近地铁6号线褡裢坡站,2,1999年,35915.0,,30,3,5
科学园南里三区,"['30天成交0套', '11套正在出租']",朝阳,南沙滩,近地铁8号线奥林匹克公园站,11,1992-1997年,91883.0,,30,11,4
乐成公馆,"['30天成交0套', '9套正在出租']",朝阳,大望路,近地铁7号线九龙山站,12,2007-2009年,101815.0,,30,9,1
丽都东镇,"['30天成交0套', '7套正在出租']",朝阳,酒仙桥,,14,2006-2010年,71347.0,,30,7,4
林达大厦,"['30天成交0套', '2套正在出租']",朝阳,国展,近地铁13号线柳芳站,2,1999-2000年,46268.0,,30,2,2
丽都东镇滨河1号,"['30天成交0套', '7套正在出租']",朝阳,酒仙桥,,5,2010年,37486.0,,30,7,5
林达海渔广场,"['30天成交0套', '16套正在出租']",朝阳,十里河,,2,2010-2012年,22127.0,,30,16,5
立城苑,"['30天成交0套', '18套正在出租']",朝阳,立水桥,近地铁5号线立水桥站,12,2001-2008年,51108.0,,30,18,2
丽都东方国际公寓,"['30天成交0套', '0套正在出租']",朝阳,酒仙桥,,2,1999-2000年,61644.0,,30,0,2
绿岛苑东区,"['30天成交2套', '8套正在出租']",朝阳,定福庄,近地铁1号线八通线传媒大学站,11,1979-1993年,39441.0,,30,8,5
丽都水岸,"['30天成交2套', '12套正在出租']",朝阳,酒仙桥,近地铁14号线将台站,11,2005-2012年,85304.0,,30,12,4
丽都水岸B5区,"['30天成交0套', '1套正在出租']",朝阳,酒仙桥,近地铁14号线将台站,11,2007-2008年,96272.0,,30,1,1
京水公寓,"['30天成交0套', '0套正在出租']",朝阳,东大桥,近地铁6号线呼家楼站,0,2003年,72573.0,,30,0,4
劲松嘉园,"['30天成交0套', '4套正在出租']",朝阳,劲松,近地铁10号线劲松站,2,1997-1999年,68975.0,,30,4,4
京瑞大厦,"['30天成交0套', '4套正在出租']",朝阳,潘家园,近地铁10号线潘家园站,2,2000-2001年,28585.0,,30,4,5
劲松四区,"['30天成交1套', '23套正在出租']",朝阳,劲松,近地铁10号线劲松站,12,1977-1979年,57049.0,,30,23,2
劲松五区,"['30天成交0套', '13套正在出租']",朝阳,劲松,近地铁10号线劲松站,5,1979-2000年,56680.0,,30,13,2
金台北街,"['共232个户型', '30天成交0套', '16套正在出租']",朝阳,红庙,近地铁6号线呼家楼站,5,1985-1991年,67752.0,,232,16,4
京师园,"['30天成交0套', '18套正在出租']",朝阳,奥林匹克公园,近地铁8号线林萃桥站,3,2004-2007年,102937.0,,30,18,1
劲松一区,"['30天成交3套', '25套正在出租']",朝阳,劲松,近地铁10号线劲松站,13,1977-2006年,54878.0,,30,25,2
金泰先锋北区,"['共263个户型', '30天成交0套', '20套正在出租']",朝阳,百子湾,近地铁7号线百子湾站,5,2008-2010年,83319.0,,263,20,4
金台里,"['共514个户型', '30天成交4套', '56套正在出租']",朝阳,红庙,近地铁6号线金台路站,6,1957-2004年,64276.0,,514,56,2
嘉禾园,"['30天成交1套', '9套正在出租']",朝阳,潘家园,近地铁10号线潘家园站,5,1997-2001年,59966.0,,30,9,2
锦湖园公寓,"['30天成交0套', '5套正在出租']",朝阳,团结湖,近地铁6号线呼家楼站,2,2000年,71621.0,,30,5,4
景龙国际,"['30天成交0套', '15套正在出租']",朝阳,奥林匹克公园,近地铁5号线北苑路北站,0,2007年,44247.0,,30,15,2
