小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
青年湖北里,"['30天成交0套', '10套正在出租']",东城,安定门,近地铁8号线安德里北街站,6,1987-1999年,107703.0,,30,10,1
青年湖西里,"['30天成交0套', '4套正在出租']",东城,安定门,近地铁8号线安德里北街站,14,1980-1993年,126244.0,,30,4,3
青年湖南里,"['30天成交0套', '2套正在出租']",东城,安定门,近地铁2号线安定门站,0,1990-1993年,110045.0,,30,2,1
前门东小街,"['30天成交0套', '2套正在出租']",东城,崇文门,近地铁5号线崇文门站,11,1980-1999年,115579.0,,30,2,1
普渡寺西巷,"['30天成交0套', '0套正在出租']",东城,东单,近地铁1号线八通线天安门东站,9,1955-2017年,154900.0,,30,0,3
培新街乙5号院,"['30天成交0套', '3套正在出租']",东城,广渠门,近地铁7号线广渠门内站,3,1997-1999年,111113.0,,30,3,1
青年湖北街,"['30天成交0套', '1套正在出租']",东城,安定门,近地铁5号线和平里北街站,2,1997年,126279.0,,30,1,3
前门前,"['30天成交0套', '10套正在出租']",东城,天坛,近地铁7号线桥湾站,6,2000-2010年,108853.0,,30,10,1
青年沟,"['30天成交0套', '5套正在出租']",东城,和平里,近地铁5号线和平里北街站,11,1976-1996年,104807.0,,30,5,1
前永康二巷,"['30天成交0套', '0套正在出租']",东城,东直门,近地铁5号线北新桥站,14,1970-2010年,108129.0,,30,0,1
潘家坡胡同2号院,"['30天成交0套', '2套正在出租']",东城,朝阳门外,,11,1987-1988年,98333.0,,30,2,1
炮局头条,"['30天成交0套', '0套正在出租']",东城,东直门,近地铁2号线雍和宫站,14,1970-1991年,117113.0,,30,0,1
民安小区东直门北中街,"['30天成交0套', '9套正在出租']",东城,东直门,近地铁2号线东直门站,12,1980-2003年,106354.0,,30,9,1
武学胡同,"['30天成交0套', '1套正在出租']",东城,朝阳门内,近地铁2号线朝阳门站,9,1989-1990年,,,30,1,0
西革新里110号院,"['共122个户型', '30天成交0套', '5套正在出租']",东城,永定门,近地铁14号线永定门外站,11,1990-1999年,75326.0,,122,5,4
西革新里108号院,"['30天成交0套', '4套正在出租']",东城,永定门,,11,1985-1998年,71606.0,,30,4,4
体育馆西路55号,"['30天成交0套', '0套正在出租']",东城,左安门,近地铁5号线天坛东门站,11,1980年,90132.0,,30,0,4
东直门南大街,"['30天成交0套', '30套正在出租']",东城,东直门,近地铁2号线东直门站,3,1990-1993年,103311.0,,30,30,1
和平里东街15号院,"['30天成交0套', '2套正在出租']",东城,和平里,近地铁2号线雍和宫站,12,1983-1992年,120131.0,,30,2,1
和平里中街3号院,"['30天成交0套', '6套正在出租']",东城,和平里,近地铁5号线和平里北街站,5,1955-2012年,115255.0,,30,6,1
和平里三区,"['30天成交0套', '18套正在出租']",东城,和平里,近地铁5号线和平里北街站,11,1996-2000年,129744.0,,30,18,3
和平里四区,"['30天成交0套', '2套正在出租']",东城,和平里,近地铁5号线和平里北街站,12,1970-1985年,127213.0,,30,2,3
