主题,词汇,权重
1,鲜,0.00047525734
1,和睦,0.0004703791
1,中国工商银行,0.0004591112
1,儿童房,0.0004565695
1,清城,0.00045569046
1,二居室,0.00045566808
1,车库,0.00045299772
1,百联,0.0004495133
1,路站,0.00044510356
1,向东,0.0004439015
1,地下通道,0.0004369678
1,北京航天,0.00043284558
1,阳谷,0.00043226423
1,铁营,0.00042840224
1,深,0.0004278787
1,风味,0.00042467596
1,网吧,0.00042467596
1,箱底,0.0004242798
1,保洁,0.0004237979
1,福利,0.00041816465
1,别墅,0.0004170961
1,专卖店,0.00041407812
1,买鞋,0.00041407812
1,中昂,0.0004129084
1,大虾,0.00040760826
1,兴海,0.0004050217
1,投影,0.00040189415
1,四世同堂,0.00040189415
1,玉泉,0.00040189415
1,绿化带,0.00040189415
1,新源,0.00040189415
1,暖气,0.00040150952
1,外底,0.0004004694
1,菜系,0.00038883858
1,环球,0.00038525483
1,惠多港,0.00038266153
1,鲁能,0.00038143873
1,美丽,0.00038143873
1,亚星,0.00038112418
1,共用,0.00037561913
1,百姓,0.0003708541
1,工,0.00036382128
1,主食,0.00036382128
1,肉饼,0.00035575288
1,大族,0.0003555081
1,全聚德,0.0003497729
1,南五环,0.0003485407
1,小厅,0.00034516057
1,电桩,0.00034516057
1,中核,0.00034516057
1,辅路,0.00034516057
1,商行,0.00034516057
1,和平街,0.00034516057
1,滑板,0.00034516057
1,体育馆,0.00034398487
1,渠站,0.0003427403
1,三阳开泰,0.00034265986
1,早教,0.00034259417
1,新隆,0.0003401942
1,衣食住行,0.00033955672
1,橱柜,0.00033955672
1,电力,0.00033943757
1,超西,0.00033922656
1,透亮,0.00033922656
1,康,0.00033922654
1,洼站,0.00033316264
1,保温,0.00033069143
1,新村,0.00033069143
1,天阶,0.00032646436
1,水上公园,0.00032646436
1,泰,0.00032638555
1,中科院,0.00032603546
1,景区,0.00032603546
1,两南,0.0003260354
1,新风,0.00032541808
1,零筑,0.0003203213
1,厅室,0.0003153389
1,西单商场,0.0003153389
1,非承重墙,0.00031533887
1,优点,0.00031533887
1,科技,0.00031483866
1,银杏树,0.00031327695
1,屋顶,0.00030838378
1,马鲜,0.00030599162
1,北京妇产医院,0.0003012637
1,有志,0.00030126367
1,鸿坤,0.00030066157
1,翡翠,0.0002979088
1,左转,0.0002905889
1,会所,0.0002882862
1,附加税,0.00027926988
1,南城,0.0002791725
