,关键词,词频占比
0,号院,0.8859990714948434
1,胡同,0.23693538766152966
2,家园,0.20450898887344435
3,小区,0.1509598972639889
4,大厦,0.10153704485338882
5,花园,0.0684121480146618
6,公寓,0.06723305175259799
7,大街,0.06374324604086253
8,嘉园,0.05390141635263615
9,西里,0.05248236398314256
10,国际,0.05094361919291073
11,宿舍,0.04699286257634409
12,万寿路,0.04580521598820673
13,一区,0.043565829125910505
14,三区,0.039463566204477975
15,南区,0.03846316594254481
16,东区,0.0376723834324153
17,西街,0.03704527132285062
18,北区,0.034762123334058266
19,东里,0.03407664882148225
20,西路,0.03381665507048445
21,西区,0.03344984251630478
22,二期,0.03298556095940167
23,南路,0.032869701337507225
24,新村,0.03120488314420222
25,北街,0.030876763790452653
26,10,0.0304087044818823
27,家属楼,0.028514319331344663
28,东街,0.02827208293086369
29,家属院,0.027173280094953175
30,11,0.0269531698816684
31,公馆,0.026587493122023353
32,北路,0.02438762362433576
33,15,0.024188742201497283
34,18,0.024188742201497283
35,康营,0.024188742201497283
36,南街,0.024145642790918024
37,三期,0.02404207430859406
38,12,0.022806528361411723
39,中路,0.022430098592525725
40,一期,0.022079536859623657
41,北里,0.02165050863609666
42,社区,0.021240571311800207
43,小镇,0.02101129901447798
44,东路,0.02062245617885536
45,别墅,0.02047970637812175
46,宿舍楼,0.02027884126829691
47,车公庄,0.020256835018221758
48,广场,0.0201548971176743
49,景园,0.019895636068100356
50,四区,0.01985176276196092
51,庄园,0.019696828611186264
52,26,0.019350993761197827
53,北苑,0.018900496643132154
54,南大街,0.018880043320013876
55,中心,0.018669614443867503
56,南里,0.018324704087963925
57,二区,0.01676218718782518
58,五区,0.01658656608102671
59,永定路,0.01658656608102671
60,砖厂,0.015638132868135042
61,北大街,0.015276178833298647
62,雅园,0.015276178833298647
63,24,0.01520435224094115
64,号楼,0.01520435224094115
65,17,0.01520435224094115
66,富力,0.01520435224094115
67,北京,0.014840277892218753
68,二条,0.014614473565036423
69,30,0.01451324532089837
70,新城,0.01435424929897676
71,首开,0.014181061849134004
72,13,0.01382213840085559
73,西山,0.013734414569406867
74,头条,0.013238747424349637
75,35,0.013131031480812811
76,16,0.013131031480812811
77,百万庄,0.013131031480812811
78,金隅,0.013131031480812811
79,石泉,0.012634574240073996
80,礼士路,0.012439924560770031
81,龙湖,0.012117197127492773
82,东四,0.012101619201641807
83,杨庄,0.011969596648491156
84,鼓楼,0.011928289955397155
85,南苑,0.011925421688603884
86,20,0.011748817640727252
87,中海,0.011429368257842526
88,幸福,0.011413748071684588
89,万科,0.011278613013976181
90,复兴路,0.01125040392692797
91,长安,0.011127241508373222
92,40,0.011057710720684472
93,桃园,0.01084389995945196
94,平房,0.010669266756283964
95,三条,0.010616426092930396
96,总部,0.010595838295553243
97,中街,0.010455218483564573
98,壹号,0.010446803646433113
99,三里,0.010414782277686439
100,14,0.010366603800641692
101,21,0.010366603800641692
102,32,0.010366603800641692
103,27,0.010366603800641692
104,雅苑,0.010366603800641692
105,拱辰,0.010366603800641692
106,酒仙桥,0.01025081175017343
107,南三环,0.010011607986478205
108,保利,0.00997566513917447
109,丽都,0.00992588138098046
110,滨河,0.009918024115250317
111,玉桥,0.009800257518661117
112,西园,0.0097780308051584
113,菜园,0.009722907615596023
114,华远,0.009705712323014221
115,22,0.009675496880598914
116,东巷,0.009675496880598914
117,19,0.009675496880598914
118,25,0.009675496880598914
119,北洼路,0.009675496880598914
120,翠微路,0.009621161389923692
121,夹道,0.009558731442673142
122,远洋,0.009548815563695225
123,绿地,0.009415866168636836
124,六里桥,0.00940495911560296
125,山庄,0.009295088953828766
126,珠江,0.00925309676845647
127,时代,0.009231331854910395
128,海淀,0.00916447549583767
129,莲花池,0.009006431091212857
130,36,0.008984389960556134
131,报国寺,0.008984389960556134
132,中里,0.008984389960556134
133,铁建,0.008984389960556134
134,艺境,0.008984389960556134
135,首创,0.008908754314979768
136,佳园,0.008881072052237253
137,西大街,0.008553510462781825
138,月坛,0.00852670117204301
139,翡翠,0.008520214683607353
