,precision,recall,f1-score,support
0,0.29385964912280704,0.21303656597774245,0.24700460829493087,629.0
1,0.141852286049238,0.18935837245696402,0.16219839142091155,639.0
2,0.06482758620689655,0.47,0.11393939393939394,100.0
3,0.3829787234042553,0.08108108108108109,0.1338289962825279,444.0
4,0.18906942392909898,0.8421052631578947,0.30880579010856457,152.0
5,0.019230769230769232,0.012987012987012988,0.01550387596899225,77.0
6,0.0,0.0,0.0,48.0
7,0.2012987012987013,0.4105960264900662,0.2701525054466231,151.0
8,0.05185185185185185,0.04697986577181208,0.04929577464788733,298.0
9,0.11475409836065574,0.01545253863134658,0.027237354085603113,453.0
10,0.3939393939393939,0.22285714285714286,0.28467153284671537,700.0
11,0.2988165680473373,0.14125874125874127,0.1918328584995252,715.0
12,0.08131067961165049,0.3333333333333333,0.13073170731707318,201.0
13,0.5227552275522755,0.576662143826323,0.5483870967741937,737.0
14,0.2777777777777778,0.056074766355140186,0.09331259720062209,535.0
15,0.08196721311475409,0.055248618784530384,0.066006600660066,181.0
16,0.09375,0.060810810810810814,0.0737704918032787,296.0
accuracy,0.21349905601006922,0.21349905601006922,0.21349905601006922,0.21349905601006922
macro avg,0.18882587938220372,0.21928484022234954,0.15980468089981817,6356.0
weighted avg,0.26152929102792405,0.21349905601006922,0.20395737629043542,6356.0
